<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURPLN,D,19851216,000000,0.0128,0.0128,0.0128,0.0128,0,0
EURPLN,D,19851223,000000,0.0129,0.0129,0.0129,0.0129,0,0
EURPLN,D,19860101,000000,0.0129,0.0129,0.0129,0.0129,0,0
EURPLN,D,19860106,000000,0.013,0.013,0.013,0.013,0,0
EURPLN,D,19860113,000000,0.0132,0.0132,0.0132,0.0132,0,0
EURPLN,D,19860120,000000,0.013,0.013,0.013,0.013,0,0
EURPLN,D,19860127,000000,0.013,0.013,0.013,0.013,0,0
EURPLN,D,19860201,000000,0.0153,0.0153,0.0153,0.0153,0,0
EURPLN,D,19860210,000000,0.0153,0.0153,0.0153,0.0153,0,0
EURPLN,D,19860217,000000,0.0154,0.0154,0.0154,0.0154,0,0
EURPLN,D,19860224,000000,0.0155,0.0155,0.0155,0.0155,0,0
EURPLN,D,19860301,000000,0.0157,0.0157,0.0157,0.0157,0,0
EURPLN,D,19860303,000000,0.0157,0.0157,0.0157,0.0157,0,0
EURPLN,D,19860310,000000,0.0161,0.0161,0.0161,0.0161,0,0
EURPLN,D,19860317,000000,0.0158,0.0158,0.0158,0.0158,0,0
EURPLN,D,19860318,000000,0.0158,0.0158,0.0158,0.0158,0,0
EURPLN,D,19860324,000000,0.0159,0.0159,0.0159,0.0159,0,0
EURPLN,D,19860401,000000,0.0157,0.0157,0.0157,0.0157,0,0
EURPLN,D,19860407,000000,0.0156,0.0156,0.0156,0.0156,0,0
EURPLN,D,19860409,000000,0.0156,0.0156,0.0156,0.0156,0,0
EURPLN,D,19860414,000000,0.0154,0.0154,0.0154,0.0154,0,0
EURPLN,D,19860421,000000,0.0155,0.0155,0.0155,0.0155,0,0
EURPLN,D,19860428,000000,0.0161,0.0161,0.0161,0.0161,0,0
EURPLN,D,19860505,000000,0.0162,0.0162,0.0162,0.0162,0,0
EURPLN,D,19860512,000000,0.016,0.016,0.016,0.016,0,0
EURPLN,D,19860519,000000,0.0162,0.0162,0.0162,0.0162,0,0
EURPLN,D,19860526,000000,0.016,0.016,0.016,0.016,0,0
EURPLN,D,19860602,000000,0.0157,0.0157,0.0157,0.0157,0,0
EURPLN,D,19860609,000000,0.0157,0.0157,0.0157,0.0157,0,0
EURPLN,D,19860616,000000,0.0159,0.0159,0.0159,0.0159,0,0
EURPLN,D,19860623,000000,0.0159,0.0159,0.0159,0.0159,0,0
EURPLN,D,19860630,000000,0.0159,0.0159,0.0159,0.0159,0,0
EURPLN,D,19860707,000000,0.0161,0.0161,0.0161,0.0161,0,0
EURPLN,D,19860714,000000,0.0161,0.0161,0.0161,0.0161,0,0
EURPLN,D,19860721,000000,0.0161,0.0161,0.0161,0.0161,0,0
EURPLN,D,19860728,000000,0.0163,0.0163,0.0163,0.0163,0,0
EURPLN,D,19860804,000000,0.0162,0.0162,0.0162,0.0162,0,0
EURPLN,D,19860811,000000,0.0163,0.0163,0.0163,0.0163,0,0
EURPLN,D,19860818,000000,0.0164,0.0164,0.0164,0.0164,0,0
EURPLN,D,19860825,000000,0.0164,0.0164,0.0164,0.0164,0,0
EURPLN,D,19860901,000000,0.0205,0.0205,0.0205,0.0205,0,0
EURPLN,D,19860908,000000,0.0206,0.0206,0.0206,0.0206,0,0
EURPLN,D,19860915,000000,0.0204,0.0204,0.0204,0.0204,0,0
EURPLN,D,19860922,000000,0.0205,0.0205,0.0205,0.0205,0,0
EURPLN,D,19860929,000000,0.0205,0.0205,0.0205,0.0205,0,0
EURPLN,D,19861006,000000,0.0206,0.0206,0.0206,0.0206,0,0
EURPLN,D,19861013,000000,0.0207,0.0207,0.0207,0.0207,0,0
EURPLN,D,19861020,000000,0.0208,0.0208,0.0208,0.0208,0,0
EURPLN,D,19861027,000000,0.0207,0.0207,0.0207,0.0207,0,0
EURPLN,D,19861101,000000,0.0205,0.0205,0.0205,0.0205,0,0
EURPLN,D,19861110,000000,0.0203,0.0203,0.0203,0.0203,0,0
EURPLN,D,19861117,000000,0.0205,0.0205,0.0205,0.0205,0,0
EURPLN,D,19861124,000000,0.0206,0.0206,0.0206,0.0206,0,0
EURPLN,D,19861201,000000,0.0206,0.0206,0.0206,0.0206,0,0
EURPLN,D,19861208,000000,0.0209,0.0209,0.0209,0.0209,0,0
EURPLN,D,19861215,000000,0.0206,0.0206,0.0206,0.0206,0,0
EURPLN,D,19861222,000000,0.0206,0.0206,0.0206,0.0206,0,0
EURPLN,D,19861231,000000,0.0209,0.0209,0.0209,0.0209,0,0
EURPLN,D,19870112,000000,0.0212,0.0212,0.0212,0.0212,0,0
EURPLN,D,19870119,000000,0.0214,0.0214,0.0214,0.0214,0,0
EURPLN,D,19870126,000000,0.0217,0.0217,0.0217,0.0217,0,0
EURPLN,D,19870201,000000,0.0271,0.0271,0.0271,0.0271,0,0
EURPLN,D,19870209,000000,0.0277,0.0277,0.0277,0.0277,0,0
EURPLN,D,19870216,000000,0.0272,0.0272,0.0272,0.0272,0,0
EURPLN,D,19870223,000000,0.0273,0.0273,0.0273,0.0273,0,0
EURPLN,D,19870302,000000,0.0271,0.0271,0.0271,0.0271,0,0
EURPLN,D,19870309,000000,0.0271,0.0271,0.0271,0.0271,0,0
EURPLN,D,19870316,000000,0.0269,0.0269,0.0269,0.0269,0,0
EURPLN,D,19870323,000000,0.0272,0.0272,0.0272,0.0272,0,0
EURPLN,D,19870330,000000,0.0274,0.0274,0.0274,0.0274,0,0
EURPLN,D,19870406,000000,0.028,0.028,0.028,0.028,0,0
EURPLN,D,19870413,000000,0.0278,0.0278,0.0278,0.0278,0,0
EURPLN,D,19870421,000000,0.028,0.028,0.028,0.028,0,0
EURPLN,D,19870427,000000,0.0287,0.0287,0.0287,0.0287,0,0
EURPLN,D,19870504,000000,0.0288,0.0288,0.0288,0.0288,0,0
EURPLN,D,19870511,000000,0.029,0.029,0.029,0.029,0,0
EURPLN,D,19870518,000000,0.0288,0.0288,0.0288,0.0288,0,0
EURPLN,D,19870525,000000,0.0296,0.0296,0.0296,0.0296,0,0
EURPLN,D,19870601,000000,0.0295,0.0295,0.0295,0.0295,0,0
EURPLN,D,19870608,000000,0.0292,0.0292,0.0292,0.0292,0,0
EURPLN,D,19870615,000000,0.0294,0.0294,0.0294,0.0294,0,0
EURPLN,D,19870622,000000,0.0292,0.0292,0.0292,0.0292,0,0
EURPLN,D,19870629,000000,0.0296,0.0296,0.0296,0.0296,0,0
EURPLN,D,19870706,000000,0.0297,0.0297,0.0297,0.0297,0,0
EURPLN,D,19870713,000000,0.0297,0.0297,0.0297,0.0297,0,0
EURPLN,D,19870720,000000,0.0297,0.0297,0.0297,0.0297,0,0
EURPLN,D,19870727,000000,0.0301,0.0301,0.0301,0.0301,0,0
EURPLN,D,19870803,000000,0.0301,0.0301,0.0301,0.0301,0,0
EURPLN,D,19870810,000000,0.0308,0.0308,0.0308,0.0308,0,0
EURPLN,D,19870817,000000,0.0306,0.0306,0.0306,0.0306,0,0
EURPLN,D,19870824,000000,0.0317,0.0317,0.0317,0.0317,0,0
EURPLN,D,19870831,000000,0.032,0.032,0.032,0.032,0,0
EURPLN,D,19870907,000000,0.0329,0.0329,0.0329,0.0329,0,0
EURPLN,D,19870914,000000,0.0332,0.0332,0.0332,0.0332,0,0
EURPLN,D,19870921,000000,0.0337,0.0337,0.0337,0.0337,0,0
EURPLN,D,19870928,000000,0.0338,0.0338,0.0338,0.0338,0,0
EURPLN,D,19871005,000000,0.0335,0.0335,0.0335,0.0335,0,0
EURPLN,D,19871012,000000,0.0336,0.0336,0.0336,0.0336,0,0
EURPLN,D,19871019,000000,0.0338,0.0338,0.0338,0.0338,0,0
EURPLN,D,19871026,000000,0.0347,0.0347,0.0347,0.0347,0,0
EURPLN,D,19871102,000000,0.0355,0.0355,0.0355,0.0355,0,0
EURPLN,D,19871109,000000,0.0371,0.0371,0.0371,0.0371,0,0
EURPLN,D,19871116,000000,0.0387,0.0387,0.0387,0.0387,0,0
EURPLN,D,19871123,000000,0.0384,0.0384,0.0384,0.0384,0,0
EURPLN,D,19871130,000000,0.0393,0.0393,0.0393,0.0393,0,0
EURPLN,D,19871207,000000,0.0396,0.0396,0.0396,0.0396,0,0
EURPLN,D,19871214,000000,0.0394,0.0394,0.0394,0.0394,0,0
EURPLN,D,19871221,000000,0.04,0.04,0.04,0.04,0,0
EURPLN,D,19871228,000000,0.04,0.04,0.04,0.04,0,0
EURPLN,D,19880104,000000,0.0403,0.0403,0.0403,0.0403,0,0
EURPLN,D,19880111,000000,0.0402,0.0402,0.0402,0.0402,0,0
EURPLN,D,19880118,000000,0.0399,0.0399,0.0399,0.0399,0,0
EURPLN,D,19880125,000000,0.0393,0.0393,0.0393,0.0393,0,0
EURPLN,D,19880201,000000,0.0469,0.0469,0.0469,0.0469,0,0
EURPLN,D,19880208,000000,0.0467,0.0467,0.0467,0.0467,0,0
EURPLN,D,19880215,000000,0.0465,0.0465,0.0465,0.0465,0,0
EURPLN,D,19880222,000000,0.0463,0.0463,0.0463,0.0463,0,0
EURPLN,D,19880229,000000,0.0466,0.0466,0.0466,0.0466,0,0
EURPLN,D,19880307,000000,0.0466,0.0466,0.0466,0.0466,0,0
EURPLN,D,19880314,000000,0.047,0.047,0.047,0.047,0,0
EURPLN,D,19880321,000000,0.0485,0.0485,0.0485,0.0485,0,0
EURPLN,D,19880328,000000,0.049,0.049,0.049,0.049,0,0
EURPLN,D,19880405,000000,0.0494,0.0494,0.0494,0.0494,0,0
EURPLN,D,19880411,000000,0.0496,0.0496,0.0496,0.0496,0,0
EURPLN,D,19880418,000000,0.0491,0.0491,0.0491,0.0491,0,0
EURPLN,D,19880425,000000,0.0495,0.0495,0.0495,0.0495,0,0
EURPLN,D,19880502,000000,0.0494,0.0494,0.0494,0.0494,0,0
EURPLN,D,19880509,000000,0.0506,0.0506,0.0506,0.0506,0,0
EURPLN,D,19880516,000000,0.0507,0.0507,0.0507,0.0507,0,0
EURPLN,D,19880523,000000,0.0506,0.0506,0.0506,0.0506,0,0
EURPLN,D,19880530,000000,0.0515,0.0515,0.0515,0.0515,0,0
EURPLN,D,19880606,000000,0.0524,0.0524,0.0524,0.0524,0,0
EURPLN,D,19880613,000000,0.0521,0.0521,0.0521,0.0521,0,0
EURPLN,D,19880620,000000,0.0519,0.0519,0.0519,0.0519,0,0
EURPLN,D,19880627,000000,0.052,0.052,0.052,0.052,0,0
