<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19941201,000000,5.7683,5.7683,5.7683,5.7683,82274.44555452974,0
CDR,D,19941202,000000,5.17843,5.17843,5.17843,5.17843,51159.72763236023,0
CDR,D,19941205,000000,5.44056,5.44056,5.44056,5.44056,36639.390177337445,0
CDR,D,19941206,000000,5.31888,5.31888,5.31888,5.31888,36157.78863353105,0
CDR,D,19941207,000000,5.44056,5.44056,5.44056,5.44056,92116.22255756236,0
CDR,D,19941208,000000,4.88811,4.88811,4.88811,4.88811,0,0
CDR,D,19941209,000000,4.45734,4.45734,4.45734,4.45734,39231.68939621994,0
CDR,D,19941212,000000,4.83193,4.83193,4.83193,4.83193,65741.15619230663,0
CDR,D,19941213,000000,4.65397,4.65397,4.65397,4.65397,34564.32898013288,0
CDR,D,19941214,000000,4.56037,4.56037,4.56037,4.56037,56505.19931308891,0
CDR,D,19941215,000000,4.65397,4.65397,4.65397,4.65397,21795.269866224007,0
CDR,D,19941216,000000,5.10349,5.10349,5.10349,5.10349,80537.42180456381,0
CDR,D,19941219,000000,5.02865,5.02865,5.02865,5.02865,29795.150055840444,0
CDR,D,19941220,000000,4.97238,4.97238,4.97238,4.97238,28153.835703586028,0
CDR,D,19941221,000000,4.88811,4.88811,4.88811,4.88811,15395.976625580242,0
CDR,D,19941222,000000,5.02865,5.02865,5.02865,5.02865,11368.03644101633,0
CDR,D,19941223,000000,5.02865,5.02865,5.02865,5.02865,16781.726522242127,0
CDR,D,19941227,000000,4.99103,4.99103,4.99103,4.99103,16079.178815632074,0
CDR,D,19941228,000000,4.83193,4.83193,4.83193,4.83193,17850.820858387866,0
CDR,D,19941229,000000,4.86945,4.86945,4.86945,4.86945,21539.705410631475,0
CDR,D,19950102,000000,5.3563,5.3563,5.3563,5.3563,83782.37766103585,0
CDR,D,19950103,000000,5.08483,5.08483,5.08483,5.08483,58108.84081730751,0
CDR,D,19950104,000000,5.22518,5.22518,5.22518,5.22518,23554.69368799608,0
CDR,D,19950105,000000,5.33763,5.33763,5.33763,5.33763,22851.12779630338,0
CDR,D,19950106,000000,5.06607,5.06607,5.06607,5.06607,16387.688895491072,0
CDR,D,19950109,000000,5.17843,5.17843,5.17843,5.17843,12930.95054195319,0
CDR,D,19950110,000000,5.17843,5.17843,5.17843,5.17843,44183.123450198575,0
CDR,D,19950111,000000,5.20652,5.20652,5.20652,5.20652,28158.926628996243,0
CDR,D,19950112,000000,5.2627,5.2627,5.2627,5.2627,19579.699127697626,0
CDR,D,19950113,000000,5.33763,5.33763,5.33763,5.33763,40452.49330959057,0
CDR,D,19950116,000000,5.28146,5.28146,5.28146,5.28146,12215.166429276771,0
CDR,D,19950117,000000,5.22518,5.22518,5.22518,5.22518,26615.358044618613,0
CDR,D,19950118,000000,5.14092,5.14092,5.14092,5.14092,30814.35332296665,0
CDR,D,19950119,000000,5.22518,5.22518,5.22518,5.22518,9767.449492043856,0
CDR,D,19950120,000000,5.20652,5.20652,5.20652,5.20652,15665.795672321785,0
CDR,D,19950123,000000,5.02865,5.02865,5.02865,5.02865,27754.70715142576,0
CDR,D,19950124,000000,4.757,4.757,4.757,4.757,19989.009530679337,0
CDR,D,19950125,000000,4.72901,4.72901,4.72901,4.72901,152541.43443651593,0
CDR,D,19950126,000000,4.72901,4.72901,4.72901,4.72901,25671.500473564036,0
